ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Sponia chichilea Ruiz & Pav. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1778,1778,PE
Gironniera reticulata Thwaites,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1854,1924,"MM, ID, ZZ, VN, LK"
Sponia bracteolata Hochst.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientale,1839,1839,ZA
Celtis brownii Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1958,2021,"GN, NG, CI, GH, CD, TG, BJ, UG"
Celtis tenuifolia var. soperi B.Boivin,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1907,1949,"US, CA"
Celtis triflora (Klotzsch) Ruiz ex Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,2013,"BO, VE, EC, DM, PY, CO, AT, AR, PE, BR"
Cannabis ruderalis Janisch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1800,2020,"ZZ, CZ, HU, GE, RU, PL, DE, UA, UZ, RO, AM, AT, US, PK"
Humulus cordifolius Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1877,1926,"RU, JP"
Celtis philippensis var. philippensis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1909,2015,"TH, MY, VN, ID, PH, PG, CM"
Humulus japonicus Siebold & Zucc.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,1853,2021,"KR, FI, GB, ZZ, NL, US, BE, RU, CN, NO, SE, CZ, AR, TW, BR, KP, LA, IT, DE, FR, VN, JP, DK, CA"
Celtis glabrata Stev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis planchoniana,1855,2005,"IQ, AM, IR, TR, UA"
Trema tomentosa var. aspera (Brongn.) Hewson,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1770,2022,"PG, MY, AU, NC"
Celtis sinensis Pers.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1777,2022,"NL, RU, ZA, JP, PT, TW, BR, ZZ, NO, ES, LK, AU, BE, HK, VN, MO, ZW, KR, KP, LA, NZ, CN, US"
Trema crassifolia Liebm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema crassifolia,1842,1842,MX
Celtis reticulata Torr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1800,2021,"US, BE, ZZ, MX, PL"
Celtis jamaicensis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jamaicensis,1849,1967,"JM, CU, ZZ"
Celtis rugosa A.Chev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rugosa,,,
Celtis brieyi De Wild.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tessmannii,1937,2006,"CD, GA"
Aphananthe monoica (Hemsl.) Leroy,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe monoica,1858,2022,"MX, GT, SV, HN, NI"
Trema velutina (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1885,2004,"KH, VN, ZZ, CN"
Trema rigida (Merr. & L.M.Perry) Byng & Christenh.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema rigida,,,
Celtis microcarpa Salzm. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,CN
Humulus lupulus var. lupuloides E.Small,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1859,2021,"CA, IT, US"
Trema angustifolia (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,1879,2013,"JP, ZZ, MY, LA, VN, ID, CN, TH"
Celtis australis f. variegata Schelle ex Geerinck,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1994,1994,FR
Celtis punctata (Urb. & Ekman) Urb. & Ekman,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1925,1926,HT
Cannabis chinensis Delile,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1844,1847,"FR, IT"
Celtis sinensis f. purpurascens Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1969,1983,KR
Celtis bungeana var. jessoensis (Koidz.) Kudô,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1950,2011,JP
Celtis prantlii Priemer ex Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1860,2020,"NG, TZ, ZW, ZZ, CD, AO, CM, ET, SN, CF, CG, TG, BJ, GQ, ST, GH, KE, CI, UG, GA"
Aphananthe Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,,1862,2014,"LK, CN, PG, ZZ, AU, JP, DE, PH, MX, US, KM"
Sponia micrantha L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Sponia micrantha,1881,1881,"CO, PR"
Celtis mindanaensis Elmer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1909,1909,PH
Celtis swartzii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis trinervia,1927,1961,"JM, CU"
"Celtis aspera Manchester, 2014",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis aspera,2003,2003,"RU, US"
Trema cannabinum var. dielsianum (Hand.-Mazz.) C.J.Chen,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,CN
Celtis glabra Noronha,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis glabra,,,BG
Celtis ferruginea (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1816,1985,"AR, BR"
Celtis asperula Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,BR
Celtis dichotoma (Klotzsch) Ruiz,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,1778,PE
"Trema guinense Priemer, 1893",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema guinense,,,
Trema molle (Humb. & Bonpl. ex Willd.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1919,1920,GY
Celtis occidentalis var. occidentalis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1959,2001,"US, CA"
Celtis tala f. obtusata Chodat,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1902,1902,PY
Celtis dysodoxylon Thwaites,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis timorensis,,,LK
Celtis conferta var. cuneata Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis conferta,1868,2004,NC
Celtis ehrenbergiana (Klotzsch) Liebm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1814,2016,"PY, PE, VE, BR, EC, HT, UY, CO, AR, BO, MX, US"
Celtis occidentalis var. crassifolia (Lam.) A.Gray,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1904,1956,"ZZ, CA, US"
Cannabis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,,1844,2021,"NC, TR, SK, IN, BE, BR, KR, MG, SY, PK, PH, MA, ZA, AZ, AT, VN, CN, CZ, US, LK, HR, LA, AU, ZZ, AR, DE, SE, RU, NP, ES, GE, AF, BZ, CD, FR, HU, EE"
Humulus L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,,1800,2021,"BE, TT, NL, CZ, GB, VN, PL, KZ, GF, AM, US, CH, NZ, VE, DE, CA, BR, FR, NO, PR, MX, RU, AR, LU, CR, JP, AU, IT, CN, TW, DK"
Celtis paniculata (Endl.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis paniculata,1770,2022,"CK, TL, ID, ZZ, BN, NZ, AU, PF, FJ, NF, VU, MY, SB, PH, PG, NC, NU, PW, KI, FM"
Celtis aculeata Sw.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1794,2011,"BR, BO, VE, BQ, JM, PR, PE, AR, CU, ZZ, ES, VI, MX, CO, PY"
Ampelocera latifolia Ducke,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera edentula,1939,1995,"CO, BO, VE, BR, PE"
Celtis fragifera A.Chev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis adolfi-friderici,1909,1909,CI
Momisia dichotoma Klotzsch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,1778,MX
Celtis tournefortii subsp. aetnensis (Tornab.) Raimondo & Schicchi,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tournefortii,1987,1987,IT
Sponia micrantha (L.) Decne. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,"CU, BR"
"Rhamnus iguanaea Jacq., 1760",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,MX
Helminthospermum Thwaites,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,,1899,1899,CM
Parasponia Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,,1954,1989,PG
Sponia Comm. ex Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,,1840,1924,"CO, ID, ZZ, TT, BR, RE"
Celtis orientalis L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,"IN, ZA, LK, GB"
Trema mollis (Humb. & Bonpl. ex Willd.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1799,2009,"US, PE, EC, CU, CO, DO, AR, MX, PY, VE, BR"
Celtis sinensis f. rotunda Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1917,1984,KR
Antidesma nervosum Wall.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera nervosa,,,MY
Celtis discolor Brongn.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema discolor,1825,1825,PF
Celtis rugulosa Rydb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rugulosa,1895,1952,US
Celtis canescens Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,MX
Gironniera subaequalis var. papuana J.J.Sm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,1910,1910,ID
Trema virgata var. scabra Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1918,1918,ID
Celtis laevigata var. smallii (Beadle) Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1880,2020,US
Celtis salvatiana C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,,,CN
Celtis aspera Brongn.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1978,1978,RU
Celtis parvifolia Raf.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,,,
Ulmus cavaleriei H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Pteroceltis,Pteroceltis tatarinowii,1910,1910,CN
Sponia argentea Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,JP
Celtis biondii var. cavaleriei (Lév.) C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1902,1902,CN
Trema tomentosa (Roxb.) Hara,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1770,2022,"BT, GN, CI, NP, KH, TW, CG, TH, SG, BN, CN, ZZ, MG, US, HK, TL, VN, ID, CX, PG, SB, IN, PW, MY, MM, PH, LA, BD, SN, RE, AU"
Gironniera subaequalis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,1843,2018,"MY, KH, VN, BN, PG, ZZ, TH, HK, SG, LK, PH, ID, MM, IN, LA, CN"
Celtis crenato-serrata Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis timorensis,1909,1909,PH
Celtis caudata Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis caudata,1894,2020,"MX, CR, NI, HN, SV, US, GT"
Trema cubense Urb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cubense,1918,2019,"CU, DM, DO"
Humulus lupulus var. neomexicanus A.Nelson & Cockerell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1845,2021,"CA, MX, US"
Celtis lancifolia Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1932,1997,"BR, AR"
Trema africana (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1839,2015,"NG, CI, LR, TG, GN, ZA, BF, CF"
Celtis eriocarpa Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1935,1995,"ZZ, PK, IN"
Celtis edulis Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1966,2013,KR
Humulus lupulus var. cordifolius (Miq.) Maxim. ex Franch. & Sav.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1922,2017,JP
Parasponia paucinervia Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema andersonii,1931,1931,SB
Celtis diffusa Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1910,1994,"AR, BR"
Celtis laevigata var. brachyphylla Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1918,1979,"US, MX"
Celtis tala var. gilliesiana Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1908,1911,"PY, BO"
Cannabis sativa var. indica (Lam.) Wehmer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1955,1971,"JP, IR, AO, ZZ, BR, EG, DZ"
Celtis pallida Torr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1832,2022,"BR, BO, AR, MX, PY, US"
Gironniera sibuyanensis Elmer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera celtidifolia,1910,1910,PH
Celtis ingens F.Muell.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis paniculata,,,AU
Celtis occidentalis var. reticulata (Torr.) Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,,,US
Celtis rugosa Rydb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rugulosa,1895,1898,US
Sponia timorensis Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,TL
Trema lanceolata Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,1934,1934,CN
Cannabis sativa subsp. spontanea (Czern.) Serebr. ex Serebr. & Sizova,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1968,2012,"HU, DE, AT, GE, AM"
Trema blancoi (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,,,PH
Gironniera nervosa Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera nervosa,1863,2022,"PG, VN, TH, VE, SG, LA, ZZ, BN, ID, GY, CO, MY, BR"
Celtis mauritiana Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1952,1952,"MU, KE, TZ"
Celtis pubescens var. chichape (Wedd.) Baehni,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,,,"BO, BR, AR"
Celtis chicape (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis chicape,1994,1994,PY
Celtis pumila var. deamii Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1915,1935,"ZZ, US"
Rhamnus micrantha L.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,JM
Celtis luzonica Warb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis luzonica,1903,2002,"ID, PG, ZZ, SB, PH, TW"
Celtis petenensis Lundell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis trinervia,1931,1933,GT
Trema domingense Urb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema domingense,1910,2009,"EC, PE, VE, NI, DO, PA, CO, BO, BZ, CR, GT"
Celtis caucasica Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1834,2019,"BG, US, AZ, ES, IQ, TM, TR, GE, IN, RU, PK, TJ, AF, KZ, KG, ZZ, UA, PL, BE, IR, AM"
Celtis latifolia (Blume) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis latifolia,1857,2012,"PH, ZZ, SB, ID, PG"
Pteroceltis Maxim.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Pteroceltis,,1930,1998,"US, CN, DE"
Celtis glycycarpa Mart. ex Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1847,2006,"BR, PY, TZ"
Gironniera chinensis Benth.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,1861,1861,"CN, HK"
Celtis pallida subsp. pallida,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1840,2004,"BR, AR, MX, PY"
Celtis planchoniana K.I.Chr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis planchoniana,1860,2021,"RU, UA, GE, AM, IR, AZ, TR"
Trema orientalis subsp. tomentosa (Roxb.) Murata,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1937,1989,TW
"Cannabis indica Mure, 1849",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis indica,2002,2002,NL
Plagioceltis dichotoma Mildbr. ex Baehni,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1828,1983,PE
Trema aspera (Brongn.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1802,1994,"PG, AU, SB, NC"
Celtis vesiculosa Hochst. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1842,1842,ET
Celtis insularis Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1859,1988,"ZZ, PN, PF"
Celtis hamiltonii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1827,1827,IN
Celtis philippensis Blanco,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1820,2021,"CD, KE, TZ, CI, PG, CN, TL, GQ, IN, MY, SN, VN, YT, ID, GH, TH, AO, TG, ST, SB, CG, NG, LK, KM, MU, GN, AU, ZZ, PH, TW, HK, CF, GA, ET, CM, MG, BJ, MZ"
