ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Trema cubensis Urb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cubensis,1918,1988,"CU, JM, DO"
Sponia micrantha (L.) Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1850,1941,"GY, MQ, EC, SR, BR, VI, GF"
Trema lima (Sw.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1838,1953,"DO, JM, BS, BR, PY, SR, BQ, MS, ZZ, CU, BO, GF, EC"
Mertensia zizyphoides Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1801,1801,CO
Celtis burmannii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,,,ZA
Taxotrophis rectinervis F.Muell.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe philippinensis,,,AU
Celtis tournefortii var. glabrata (Stev. ex Planch.) Boiss.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis planchoniana,1947,2021,"RU, IQ, TR, AM"
Celtis yangquanensis E.W.Ma,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,1934,1938,CN
Celtis riparia Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,"MX, CO"
Lozanella Greenm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Lozanella,,1954,2014,"CR, VE, PE, GT, CO, EC, BO, MX"
Sponia hochstetteri Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientale,,,ET
Ampelocera macphersonii Todzia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera macphersonii,1966,2019,"VE, PA, EC, CR, PE, CO"
Sponia orientalis Blume ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,ZZ
Celtis mollis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1826,1826,IN
Lupulus humulus Mill.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1993,2010,FR
Celtis smallii Beadle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1850,2020,US
Gironniera mollissima Gagnep.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera subaequalis,1920,1967,VN
Celtis occidentalis var. georgiana (Small) H.E.Ahles,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1893,2000,US
Cannabis sativa var. indica (Lam.) Persoon,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,,,"JP, ZZ"
Aphananthe aspera var. aspera,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe aspera,1979,1979,US
Celtis tala Gillies,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1981,2004,"US, BR, BO, AR"
Aphananthe cuspidata (Blume) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1876,2012,"ZZ, ID, LK, CN, TH, HK, ET, MM, MY, VN, IN, NP, BT, PH"
Gironniera scabrida (Thwaites) Alston,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera parvifolia,1976,1977,LK
Celtis muku Siebold,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe aspera,,,
Trema micrantha var. obtusatum Urb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1886,2011,"PR, GF"
Trema humbertii Leroy,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema humbertii,1933,1994,MG
Solenostigma rigescens Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rigescens,,,ID
Trema sampsonii (Hance) Merr. & Chun,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,1928,1936,"CN, ZZ"
Celtis yunnanensis C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1932,2018,"US, CN, RU"
Celtis willdenowiana Roem. & Schult.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,,,JP
Celtis prantlii Priemer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,2014,2014,"CI, BJ, GH"
"Celtis roxburghii Voigt, 1845",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis roxburghii,1851,1851,IN
Celtis laevigata var. reticulata (Torr.) L.D.Benson,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1880,2012,"GB, US, ZZ, MX"
Celtis laevigata var. anomala Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1918,1918,US
Celtis berlandieri Klotzsch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1831,1947,"MX, US"
Celtis ferruginea Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,,,BR
Celtis lima Sw.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,
Celtis lindheimeri Engelm. ex K.Koch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis lindheimeri,1891,2017,US
Trema tomentosa var. viridis (Planch.) Hewson,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1988,2021,AU
Celtis wightii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1858,2011,"AO, IN, ST, GH, ZZ, TZ, MY, GQ, ID, UG, CN, LK, NG, CI, SB"
Celtis clausseniana (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1994,1994,BR
Aphananthe aspera (Thunb.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe aspera,1827,2022,"KR, ZZ, BE, NL, RU, CN, TW, AU, JP, US, ES"
Gironniera retinervia Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera celtidifolia,1930,1932,"PG, SB"
"Chaetacme microcarpa Rendle, 1916",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetacme,Chaetacme microcarpa,,,
"Cannabis sativa var. afghanica Vavilov, 2020",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1924,1971,AF
Sponia grisea Liebm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,MX
Celtis hottlei Standl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera hottlei,1929,1934,"CO, GT, HN, BZ"
Sponia canescens (Kunth) Decne.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,MX
Mertensia pubescens Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,EC
Celtis gomphophylla Baker,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis gomphophylla,1841,2021,"RW, GQ, MG, TG, KM, MZ, ET, TZ, ST, ZA, KE, CI, SD, BI, GA, ZW, CD, BJ, YT, CF, UG, CM, AO, MW"
